TIMESTAMP,PD1,PD2,PD3,PD4,PD5,PD6,LABEL
1618593464649,0.01,0,0.67,0.56,0,0.65,1
1618593469673,0.01,0,0.69,0.54,0,0.62,1
1618593474678,0.01,0,0.69,0.54,0,0.62,1
1618593479683,0.01,0,0.73,0.52,0,0.6,1
1618593484690,0.01,0,0.73,0.52,0,0.6,1
1618593489694,0.01,0,0.74,0.56,0,0.58,1
1618593494702,0.01,0,0.74,0.56,0,0.58,1
1618593499706,0.01,0,0.77,0.58,0,0.55,1
1618593504711,0.01,0,0.77,0.58,0,0.55,1
1618593509718,0.01,0,0.79,0.52,0,0.55,1
1618593514722,0.01,0,0.79,0.52,0,0.52,1
1618593519726,0.01,0,0.82,0.52,0,0.52,1
1618593524731,0.01,0,0.82,0.52,0,0.5,1
1618593529736,0.01,0,0.82,0.53,0,0.5,1
1618593534741,0.01,0,0.85,0.53,0,0.47,1
1618593539752,0.01,0,0.85,0.51,0,0.47,1
1618593544759,0.01,0,0.87,0.51,0,0.45,1
1618593549764,0.01,0,0.87,0.51,0,0.45,1
1618593554772,0.01,0,0.9,0.5,0,0.42,1
1618593559780,0.01,0,0.9,0.5,0,0.42,1
1618593564786,0.01,0,0.92,0.47,0,0.39,1
1618593569794,0.01,0,0.92,0.47,0,0.39,1
1618593574802,0.01,0,0.95,0.45,0,0.36,1
1618593579807,0.02,0,0.95,0.45,0,0.36,1
1618593584815,0.02,0,0.98,0.46,0,0.33,1
1618593589828,0.02,0,0.98,0.46,0,0.33,1
1618593594841,0.02,0,1,0.43,0,0.33,1
1618593599852,0.02,0,1,0.43,0,0.31,1
1618593604865,0.02,0,1.02,0.4,0,0.31,1
1618593609882,0.02,0,1.02,0.4,0,0.28,1
1618593614892,0.02,0,1.02,0.41,0,0.28,1
1618593619896,0.02,0,1.04,0.41,0,0.25,1
1618593624900,0.02,0,1.04,0.4,0,0.25,1
1618593629912,0.02,0.01,1.06,0.4,0,0.22,1
1618593634921,0.02,0.01,1.06,0.4,0,0.22,1
1618593639932,0.02,0,1.08,0.37,0,0.19,1
1618593644941,0.02,0,1.08,0.37,0,0.19,1
1618593649951,0.02,0,1.1,0.34,0,0.16,1
1618593654962,0.02,0,1.1,0.34,0,0.16,1
1618593659971,0.02,0.01,1.11,0.32,0,0.12,1
1618593664998,0.02,0.01,1.11,0.32,0,0.12,1
1618593670020,0.02,0.01,1.13,0.29,0,0,1
1618593675024,0.02,0.01,1.13,0.29,0,0,1
1618593680028,0.02,0.01,1.14,0.26,0,0,1
1618593685033,0.03,0.01,1.14,0.26,0,0,1
1618593690040,0.03,0.01,1.15,0.25,0,0,1
1618593695044,0.03,0,1.15,0.25,0,0,1
1618593700049,0.03,0,1.15,0.24,0,0,1
1618593705054,0.03,0.01,1.16,0.24,0,0,1
1618593710059,0.03,0.01,1.16,0.23,0,0,1
1618593715064,0.03,0.01,1.16,0.23,0,0,1
1618593720072,0.03,0.01,1.16,0.23,0,0,1
1618593725079,0.03,0,1.16,0.23,0,0,1
1618593730087,0.03,0,1.16,0.23,0,0,1
1618593735091,0.05,0.01,1.14,0.22,0,0,1
1618593740095,0.05,0.01,1.14,0.22,0,0,1
1618593745099,0.05,0.01,1.16,0.22,0,0,1
1618593750103,0.07,0.01,1.16,0.22,0,0,1
1618593755112,0.07,0.01,1.15,0.21,0,0,1
1618593760119,0.09,0.01,1.15,0.21,0,0,1
1618593765131,0.09,0.01,1.15,0.22,0,0,1
1618593770141,0.11,0.01,1.14,0.22,0,0,1
1618593775152,0.11,0.01,1.14,0.22,0,0,1
1618593780162,0.12,0.01,1.13,0.22,0,0,1
1618593785173,0.12,0.01,1.13,0.22,0,0,1
1618593790179,0.14,0.01,1.11,0.22,0,0,1
1618593795195,0.14,0.01,1.11,0.22,0,0,1
1618593800199,0.17,0.01,1.1,0.24,0,0,1
1618593805203,0.17,0.01,1.1,0.24,0,0,1
1618593810212,0.19,0.01,1.07,0.24,0,0,1
1618593815221,0.19,0.01,1.07,0.24,0,0,1
1618593820231,0.22,0.01,1.07,0.25,0,0,1
1618593825242,0.22,0.01,1.07,0.25,0,0,1
1618593830253,0.24,0,1.06,0.27,0,0,1
1618593835259,0.24,0,1.06,0.27,0,0,1
1618593840293,0.24,0,1.04,0.28,0,0,1
1618593845548,0.27,0.01,1.04,0.28,0,0,1
1618593850557,0.29,0.01,1.02,0.31,0,0,1
1618593855568,0.29,0.01,1.02,0.31,0,0,1
1618593860574,0.32,0.01,1.02,0.32,0,0,1
1618593865577,0.32,0.01,1,0.32,0,0,1
1618593870582,0.34,0.01,1,0.35,0,0,1
1618593875592,0.34,0,0.98,0.35,0,0,1
